width,n_hidden,N,D,C,batch_size,lr,steps,iso_C,seed,init_loss,val_loss
64,2,6337,16777216,569183830016.0,256,0.0006304871583953227,65536,0.0,0,0.9925375080108643,0.019114885702729227
128,2,20865,1024,119805952.0,256,0.014892756392592785,4,0.0,0,0.9881026244163513,0.29719279170036317
128,2,20865,2048,239611904.0,256,0.014892756392592785,8,0.0,0,0.9881026244163513,0.20547557830810548
128,2,20865,4096,479223808.0,256,0.014892756392592785,16,0.0,0,0.9881026244163513,0.1932183599472046
128,2,20865,8192,958447616.0,256,0.014892756392592785,32,0.0,0,0.9881026244163513,0.11856359452009202
128,2,20865,16384,1916895232.0,256,0.014892756392592785,64,0.0,0,0.9881026244163513,0.05389523714780808
128,2,20865,32768,3833790464.0,256,0.014892756392592785,128,0.0,0,0.9881026244163513,0.03347470819950104
128,2,20865,65536,7667580928.0,256,0.014892756392592785,256,0.0,0,0.9881026244163513,0.03094448357820511
128,2,20865,131072,15335161856.0,256,0.009710454961893622,512,0.0,0,0.9881026244163513,0.027683887854218485
128,2,20865,262144,30670323712.0,256,0.006331462966376256,1024,0.0,0,0.9881026244163513,0.02475438103079796
128,2,20865,524288,61340647424.0,256,0.004128274468282651,2048,0.0,0,0.9881026244163513,0.021102266609668734
128,2,20865,1048576,122681294848.0,256,0.0026917396778565663,4096,0.0,0,0.9881026244163513,0.01856995023787022
128,2,20865,2097152,245362589696.0,256,0.0017550825530167479,8192,0.0,0,0.9881026244163513,0.01665212143212557
128,2,20865,4194304,490725179392.0,256,0.0011443583468504805,16384,0.0,0,0.9881026244163513,0.015552378017455341
128,2,20865,8388608,981450358784.0,256,0.0007461506718048198,32768,0.0,0,0.9881026244163513,0.01475250603631139
128,2,20865,16777216,1962900717568.0,256,0.000486509166090372,65536,0.0,0,0.9881026244163513,0.014049862734973433
512,2,280065,1024,1687164928.0,256,0.008867570478021516,4,0.0,0,0.9467294311523438,0.7517476773262024
512,2,280065,2048,3374329856.0,256,0.008867570478021516,8,0.0,0,0.9467294311523438,0.5436995720863342
512,2,280065,4096,6748659712.0,256,0.008867570478021516,16,0.0,0,0.9467294311523438,0.2747973895072937
